Spat_code	unit	B_3_99
ES41_10kmE313N220	flg	
ES41_10kmE313N221	ha	910
ES41_10kmE313N221	flg	
ES41_10kmE313N222	ha	630
ES41_10kmE313N222	flg	
ES41_10kmE313N223	ha	1620
ES41_10kmE313N223	flg	
ES41_10kmE313N224	ha	1420
ES41_10kmE313N224	flg	
ES41_10kmE313N225	ha	810
ES41_10kmE313N225	flg	
ES41_10kmE313N226	ha	790
ES41_10kmE313N226	flg	
ES41_10kmE313N227	ha	3840
ES41_10kmE313N227	flg	
ES41_10kmE313N228	ha	2670
ES41_10kmE313N228	flg	
ES41_10kmE313N229	ha	3400
ES41_10kmE313N229	flg	
ES41_10kmE313N230	ha	3900
ES41_10kmE313N230	flg	
ES41_10kmE313N231	ha	4990
ES41_10kmE313N231	flg	
ES41_10kmE313N232	ha	6120
ES41_10kmE313N232	flg	
ES41_10kmE314N207	ha	0
ES41_10kmE314N207	flg	-1
ES41_10kmE314N208	ha	0
ES41_10kmE314N208	flg	-1
ES41_10kmE314N209	ha	8770
ES41_10kmE314N209	flg	
ES41_10kmE314N210	ha	1370
ES41_10kmE314N210	flg	
ES41_10kmE314N211	ha	2360
ES41_10kmE314N211	flg	
ES41_10kmE314N212	ha	1090
ES41_10kmE314N212	flg	
ES41_10kmE314N213	ha	550
ES41_10kmE314N213	flg	
ES41_10kmE314N214	ha	810
ES41_10kmE314N214	flg	
ES41_10kmE314N215	ha	420
ES41_10kmE314N215	flg	
ES41_10kmE314N216	ha	120
ES41_10kmE314N216	flg	
ES41_10kmE314N217	ha	210
ES41_10kmE314N217	flg	
ES41_10kmE314N218	ha	150
ES41_10kmE314N218	flg	
ES41_10kmE314N219	ha	470
ES41_10kmE314N219	flg	
ES41_10kmE314N220	ha	200
ES41_10kmE314N220	flg	
ES41_10kmE314N221	ha	910
ES41_10kmE314N221	flg	
ES41_10kmE314N222	ha	1490
ES41_10kmE314N222	flg	
ES41_10kmE314N223	ha	1300
ES41_10kmE314N223	flg	
ES41_10kmE314N224	ha	940
ES41_10kmE314N224	flg	
ES41_10kmE314N225	ha	1130
ES41_10kmE314N225	flg	
ES41_10kmE314N226	ha	1070
ES41_10kmE314N226	flg	
ES41_10kmE314N227	ha	1410
ES41_10kmE314N227	flg	
ES41_10kmE314N228	ha	2500
ES41_10kmE314N228	flg	
ES41_10kmE314N229	ha	3190
ES41_10kmE314N229	flg	
ES41_10kmE314N230	ha	3610
ES41_10kmE314N230	flg	
ES41_10kmE314N231	ha	430
ES41_10kmE314N231	flg	
ES41_10kmE314N232	ha	4370
ES41_10kmE314N232	flg	
ES41_10kmE315N209	ha	3010
ES41_10kmE315N209	flg	
ES41_10kmE315N210	ha	4110
ES41_10kmE315N210	flg	
ES41_10kmE315N211	ha	1280
ES41_10kmE315N211	flg	
ES41_10kmE315N212	ha	630
ES41_10kmE315N212	flg	
ES41_10kmE315N213	ha	750
ES41_10kmE315N213	flg	
ES41_10kmE315N214	ha	650
ES41_10kmE315N214	flg	
ES41_10kmE315N215	ha	630
ES41_10kmE315N215	flg	
ES41_10kmE315N216	ha	300
ES41_10kmE315N216	flg	
ES41_10kmE315N217	ha	350
ES41_10kmE315N217	flg	
ES41_10kmE315N218	ha	860
ES41_10kmE315N218	flg	
ES41_10kmE315N219	ha	510
ES41_10kmE315N219	flg	
ES41_10kmE315N220	ha	1580
ES41_10kmE315N220	flg	
ES41_10kmE315N221	ha	450
ES41_10kmE315N221	flg	
ES41_10kmE315N222	ha	290
ES41_10kmE315N222	flg	
ES41_10kmE315N223	ha	710
ES41_10kmE315N223	flg	
ES41_10kmE315N224	ha	720
ES41_10kmE315N224	flg	
ES41_10kmE315N225	ha	270
ES41_10kmE315N225	flg	
ES41_10kmE315N226	ha	770
ES41_10kmE315N226	flg	
ES41_10kmE315N227	ha	1360
ES41_10kmE315N227	flg	
ES41_10kmE315N228	ha	1240
ES41_10kmE315N228	flg	
ES41_10kmE315N229	ha	3510
ES41_10kmE315N229	flg	
ES41_10kmE315N230	ha	4560
ES41_10kmE315N230	flg	
ES41_10kmE315N231	ha	6840
ES41_10kmE315N231	flg	
ES41_10kmE315N232	ha	1800
ES41_10kmE315N232	flg	
ES41_10kmE316N209	ha	1160
ES41_10kmE316N209	flg	
ES41_10kmE316N210	ha	1960
ES41_10kmE316N210	flg	
ES41_10kmE316N211	ha	2040
ES41_10kmE316N211	flg	
ES41_10kmE316N212	ha	3990
ES41_10kmE316N212	flg	
ES41_10kmE316N213	ha	2830
ES41_10kmE316N213	flg	
ES41_10kmE316N214	ha	870
ES41_10kmE316N214	flg	
ES41_10kmE316N215	ha	340
ES41_10kmE316N215	flg	
ES41_10kmE316N216	ha	410
ES41_10kmE316N216	flg	
ES41_10kmE316N217	ha	740
ES41_10kmE316N217	flg	
ES41_10kmE316N218	ha	260
ES41_10kmE316N218	flg	
ES41_10kmE316N219	ha	400
ES41_10kmE316N219	flg	
ES41_10kmE316N220	ha	570
ES41_10kmE316N220	flg	
ES41_10kmE316N221	ha	1160
ES41_10kmE316N221	flg	
ES41_10kmE316N222	ha	630
ES41_10kmE316N222	flg	
ES41_10kmE316N223	ha	540
ES41_10kmE316N223	flg	
ES41_10kmE316N224	ha	1180
ES41_10kmE316N224	flg	
ES41_10kmE316N225	ha	620
ES41_10kmE316N225	flg	
ES41_10kmE316N226	ha	1280
ES41_10kmE316N226	flg	
ES41_10kmE316N227	ha	590
ES41_10kmE316N227	flg	
ES41_10kmE316N228	ha	4310
ES41_10kmE316N228	flg	
ES41_10kmE316N229	ha	1920
ES41_10kmE316N229	flg	
ES41_10kmE316N230	ha	1140
ES41_10kmE316N230	flg	
ES41_10kmE317N210	ha	2800
ES41_10kmE317N210	flg	
ES41_10kmE317N211	ha	2780
ES41_10kmE317N211	flg	
ES41_10kmE317N212	ha	2360
ES41_10kmE317N212	flg	
ES41_10kmE317N213	ha	2960
ES41_10kmE317N213	flg	
ES41_10kmE317N214	ha	3910
ES41_10kmE317N214	flg	
ES41_10kmE317N215	ha	740
ES41_10kmE317N215	flg	
ES41_10kmE317N216	ha	360
ES41_10kmE317N216	flg	
ES41_10kmE317N217	ha	1170
ES41_10kmE317N217	flg	
ES41_10kmE317N218	ha	540
ES41_10kmE317N218	flg	
ES41_10kmE317N219	ha	390
ES41_10kmE317N219	flg	
ES41_10kmE317N220	ha	130
ES41_10kmE317N220	flg	
ES41_10kmE317N221	ha	570
ES41_10kmE317N221	flg	
ES41_10kmE317N222	ha	390
ES41_10kmE317N222	flg	
ES41_10kmE317N223	ha	1100
ES41_10kmE317N223	flg	
ES41_10kmE317N224	ha	450
ES41_10kmE317N224	flg	
ES41_10kmE317N225	ha	710
ES41_10kmE317N225	flg	
ES41_10kmE317N226	ha	150
ES41_10kmE317N226	flg	
ES41_10kmE317N227	ha	1320
ES41_10kmE317N227	flg	
ES41_10kmE317N228	ha	1800
ES41_10kmE317N228	flg	
ES41_10kmE317N229	ha	990
ES41_10kmE317N229	flg	
ES41_10kmE318N211	ha	3080
ES41_10kmE318N211	flg	
ES41_10kmE318N212	ha	1730
ES41_10kmE318N212	flg	
ES41_10kmE318N213	ha	1550
ES41_10kmE318N213	flg	
ES41_10kmE318N214	ha	400
ES41_10kmE318N214	flg	
ES41_10kmE318N215	ha	770
ES41_10kmE318N215	flg	
ES41_10kmE318N216	ha	210
ES41_10kmE318N216	flg	
ES41_10kmE318N217	ha	320
ES41_10kmE318N217	flg	
ES41_10kmE318N218	ha	340
ES41_10kmE318N218	flg	
ES41_10kmE318N219	ha	140
ES41_10kmE318N219	flg	
ES41_10kmE318N220	ha	200
ES41_10kmE318N220	flg	
ES41_10kmE318N221	ha	330
ES41_10kmE318N221	flg	
ES41_10kmE318N222	ha	400
ES41_10kmE318N222	flg	
ES41_10kmE318N223	ha	1200
ES41_10kmE318N223	flg	
ES41_10kmE318N224	ha	780
ES41_10kmE318N224	flg	
ES41_10kmE318N225	ha	1010
ES41_10kmE318N225	flg	
ES41_10kmE318N226	ha	840
ES41_10kmE318N226	flg	
ES41_10kmE318N227	ha	3220
ES41_10kmE318N227	flg	
ES41_10kmE318N228	ha	630
ES41_10kmE318N228	flg	
ES41_10kmE318N230	ha	2370
ES41_10kmE318N230	flg	
ES41_10kmE318N231	ha	720
ES41_10kmE318N231	flg	
ES41_10kmE319N211	ha	1680
ES41_10kmE319N211	flg	
ES41_10kmE319N212	ha	530
ES41_10kmE319N212	flg	
ES41_10kmE319N213	ha	1730
ES41_10kmE319N213	flg	
ES41_10kmE319N214	ha	4470
ES41_10kmE319N214	flg	
ES41_10kmE319N215	ha	230
ES41_10kmE319N215	flg	
ES41_10kmE319N216	ha	560
ES41_10kmE319N216	flg	
ES41_10kmE319N217	ha	80
ES41_10kmE319N217	flg	
ES41_10kmE319N218	ha	350
ES41_10kmE319N218	flg	
ES41_10kmE319N219	ha	930
ES41_10kmE319N219	flg	
ES41_10kmE319N220	ha	620
ES41_10kmE319N220	flg	
ES41_10kmE319N221	ha	2800
ES41_10kmE319N221	flg	
ES41_10kmE319N222	ha	1050
ES41_10kmE319N222	flg	
ES41_10kmE319N223	ha	1100
ES41_10kmE319N223	flg	
ES41_10kmE319N224	ha	820
ES41_10kmE319N224	flg	
ES41_10kmE319N225	ha	460
ES41_10kmE319N225	flg	
ES41_10kmE319N226	ha	1380
ES41_10kmE319N226	flg	
ES41_10kmE319N227	ha	3470
ES41_10kmE319N227	flg	
ES41_10kmE319N228	ha	0
ES41_10kmE319N228	flg	-1
ES41_10kmE319N229	ha	0
ES41_10kmE319N229	flg	-1
ES41_10kmE319N230	ha	2340
ES41_10kmE319N230	flg	
ES41_10kmE319N231	ha	1430
ES41_10kmE319N231	flg	
ES41_10kmE319N232	ha	0
ES41_10kmE319N232	flg	-1
ES41_10kmE320N211	ha	0
ES41_10kmE320N211	flg	-1
ES41_10kmE320N212	ha	2070
ES41_10kmE320N212	flg	
ES41_10kmE320N213	ha	4370
ES41_10kmE320N213	flg	
ES41_10kmE320N214	ha	1810
ES41_10kmE320N214	flg	
ES41_10kmE320N215	ha	980
ES41_10kmE320N215	flg	
ES41_10kmE320N216	ha	340
ES41_10kmE320N216	flg	
ES41_10kmE320N217	ha	660
ES41_10kmE320N217	flg	
ES41_10kmE320N218	ha	1520
ES41_10kmE320N218	flg	
ES41_10kmE320N219	ha	2030
ES41_10kmE320N219	flg	
ES41_10kmE320N220	ha	1220
ES41_10kmE320N220	flg	
ES41_10kmE320N221	ha	810
ES41_10kmE320N221	flg	
ES41_10kmE320N222	ha	1710
ES41_10kmE320N222	flg	
ES41_10kmE320N223	ha	860
ES41_10kmE320N223	flg	
ES41_10kmE320N224	ha	310
ES41_10kmE320N224	flg	
ES41_10kmE320N225	ha	1400
ES41_10kmE320N225	flg	
ES41_10kmE320N226	ha	2020
ES41_10kmE320N226	flg	
ES41_10kmE320N227	ha	3570
ES41_10kmE320N227	flg	
ES41_10kmE320N228	ha	2240
ES41_10kmE320N228	flg	
ES41_10kmE320N229	ha	0
ES41_10kmE320N229	flg	-1
ES41_10kmE320N230	ha	2710
ES41_10kmE320N230	flg	
ES41_10kmE320N231	ha	2240
ES41_10kmE320N231	flg	
ES41_10kmE320N232	ha	2310
ES41_10kmE320N232	flg	
ES41_10kmE321N211	ha	290
ES41_10kmE321N211	flg	
ES41_10kmE321N212	ha	710
ES41_10kmE321N212	flg	
ES41_10kmE321N213	ha	300
ES41_10kmE321N213	flg	
ES41_10kmE321N214	ha	0
ES41_10kmE321N214	flg	-1
ES41_10kmE321N215	ha	1430
ES41_10kmE321N215	flg	
ES41_10kmE321N216	ha	610
ES41_10kmE321N216	flg	
ES41_10kmE321N217	ha	260
ES41_10kmE321N217	flg	
ES41_10kmE321N218	ha	6630
ES41_10kmE321N218	flg	
ES41_10kmE321N219	ha	2150
ES41_10kmE321N219	flg	
ES41_10kmE321N220	ha	1780
ES41_10kmE321N220	flg	
ES41_10kmE321N221	ha	4930
ES41_10kmE321N221	flg	
ES41_10kmE321N222	ha	2270
ES41_10kmE321N222	flg	
ES41_10kmE321N223	ha	690
ES41_10kmE321N223	flg	
ES41_10kmE321N224	ha	920
ES41_10kmE321N224	flg	
ES41_10kmE321N225	ha	980
ES41_10kmE321N225	flg	
ES41_10kmE321N226	ha	460
ES41_10kmE321N226	flg	
ES41_10kmE321N227	ha	50
ES41_10kmE321N227	flg	
ES41_10kmE321N228	ha	510
ES41_10kmE321N228	flg	
ES41_10kmE321N229	ha	2450
ES41_10kmE321N229	flg	
ES41_10kmE321N230	ha	4000
ES41_10kmE321N230	flg	
ES41_10kmE321N231	ha	6990
ES41_10kmE321N231	flg	
ES41_10kmE321N232	ha	3350
ES41_10kmE321N232	flg	
ES41_10kmE322N211	ha	0
ES41_10kmE322N211	flg	-1
ES41_10kmE322N212	ha	290
ES41_10kmE322N212	flg	
ES41_10kmE322N213	ha	1750
ES41_10kmE322N213	flg	
ES41_10kmE322N214	ha	490
ES41_10kmE322N214	flg	
ES41_10kmE322N215	ha	780
ES41_10kmE322N215	flg	
ES41_10kmE322N216	ha	170
ES41_10kmE322N216	flg	
ES41_10kmE322N217	ha	1730
ES41_10kmE322N217	flg	
ES41_10kmE322N218	ha	2480
ES41_10kmE322N218	flg	
ES41_10kmE322N219	ha	1160
ES41_10kmE322N219	flg	
ES41_10kmE322N220	ha	4300
ES41_10kmE322N220	flg	
ES41_10kmE322N221	ha	4260
ES41_10kmE322N221	flg	
ES41_10kmE322N222	ha	50
ES41_10kmE322N222	flg	
ES41_10kmE322N223	ha	2350
ES41_10kmE322N223	flg	
ES41_10kmE322N224	ha	3270
ES41_10kmE322N224	flg	
ES41_10kmE322N225	ha	1300
ES41_10kmE322N225	flg	
ES41_10kmE322N226	ha	480
ES41_10kmE322N226	flg	
ES41_10kmE322N227	ha	5470
ES41_10kmE322N227	flg	
ES41_10kmE322N228	ha	1370
ES41_10kmE322N228	flg	
ES41_10kmE322N229	ha	2070
ES41_10kmE322N229	flg	
ES41_10kmE322N230	ha	2220
ES41_10kmE322N230	flg	
ES41_10kmE322N231	ha	1190
ES41_10kmE322N231	flg	
ES41_10kmE322N232	ha	1360
ES41_10kmE322N232	flg	
ES41_10kmE323N211	ha	0
ES41_10kmE323N211	flg	-1
ES41_10kmE323N212	ha	6600
ES41_10kmE323N212	flg	
ES41_10kmE323N213	ha	1140
ES41_10kmE323N213	flg	
ES41_10kmE323N214	ha	0
ES41_10kmE323N214	flg	-1
ES41_10kmE323N215	ha	270
ES41_10kmE323N215	flg	
ES41_10kmE323N216	ha	950
ES41_10kmE323N216	flg	
ES41_10kmE323N217	ha	1630
ES41_10kmE323N217	flg	
ES41_10kmE323N218	ha	1100
ES41_10kmE323N218	flg	
ES41_10kmE323N219	ha	1950
ES41_10kmE323N219	flg	
ES41_10kmE323N220	ha	970
ES41_10kmE323N220	flg	
ES41_10kmE323N221	ha	1850
ES41_10kmE323N221	flg	
ES41_10kmE323N222	ha	3630
ES41_10kmE323N222	flg	
ES41_10kmE323N223	ha	1720
ES41_10kmE323N223	flg	
ES41_10kmE323N224	ha	2450
ES41_10kmE323N224	flg	
ES41_10kmE323N225	ha	790
ES41_10kmE323N225	flg	
ES41_10kmE323N226	ha	250
ES41_10kmE323N226	flg	
ES41_10kmE323N227	ha	2090
ES41_10kmE323N227	flg	
ES41_10kmE323N228	ha	570
ES41_10kmE323N228	flg	
ES41_10kmE323N229	ha	2300
ES41_10kmE323N229	flg	
ES41_10kmE323N230	ha	1400
ES41_10kmE323N230	flg	
ES41_10kmE323N231	ha	4230
ES41_10kmE323N231	flg	
ES41_10kmE323N232	ha	760
ES41_10kmE323N232	flg	
ES41_10kmE324N211	ha	1500
ES41_10kmE324N211	flg	
ES41_10kmE324N212	ha	290
ES41_10kmE324N212	flg	
ES41_10kmE324N213	ha	190
ES41_10kmE324N213	flg	
ES41_10kmE324N214	ha	220
ES41_10kmE324N214	flg	
ES41_10kmE324N215	ha	470
ES41_10kmE324N215	flg	
ES41_10kmE324N216	ha	550
ES41_10kmE324N216	flg	
ES41_10kmE324N217	ha	0
ES41_10kmE324N217	flg	-1
ES41_10kmE324N218	ha	650
ES41_10kmE324N218	flg	
ES41_10kmE324N219	ha	1240
ES41_10kmE324N219	flg	
ES41_10kmE324N220	ha	160
ES41_10kmE324N220	flg	
ES41_10kmE324N222	ha	620
ES41_10kmE324N222	flg	
ES41_10kmE324N223	ha	950
ES41_10kmE324N223	flg	
ES41_10kmE324N224	ha	1790
ES41_10kmE324N224	flg	
ES41_10kmE324N225	ha	240
ES41_10kmE324N225	flg	
ES41_10kmE324N226	ha	1050
ES41_10kmE324N226	flg	
ES41_10kmE324N227	ha	2310
ES41_10kmE324N227	flg	
ES41_10kmE324N228	ha	2810
ES41_10kmE324N228	flg	
ES41_10kmE324N229	ha	0
ES41_10kmE324N229	flg	-1
ES41_10kmE324N230	ha	3980
ES41_10kmE324N230	flg	
ES41_10kmE324N231	ha	3520
ES41_10kmE324N231	flg	
ES41_10kmE324N232	ha	1090
ES41_10kmE324N232	flg	
ES41_10kmE325N210	ha	1580
ES41_10kmE325N210	flg	
ES41_10kmE325N211	ha	200
ES41_10kmE325N211	flg	
ES41_10kmE325N212	ha	2780
ES41_10kmE325N212	flg	
ES41_10kmE325N213	ha	2350
ES41_10kmE325N213	flg	
ES41_10kmE325N214	ha	1160
ES41_10kmE325N214	flg	
ES41_10kmE325N215	ha	1630
ES41_10kmE325N215	flg	
ES41_10kmE325N216	ha	1640
ES41_10kmE325N216	flg	
ES41_10kmE325N217	ha	720
ES41_10kmE325N217	flg	
ES41_10kmE325N218	ha	3480
ES41_10kmE325N218	flg	
ES41_10kmE325N219	ha	0
ES41_10kmE325N219	flg	-1
ES41_10kmE325N220	ha	0
ES41_10kmE325N220	flg	-1
ES41_10kmE325N225	ha	0
ES41_10kmE325N225	flg	-1
ES41_10kmE325N226	ha	260
ES41_10kmE325N226	flg	
ES41_10kmE325N227	ha	260
ES41_10kmE325N227	flg	
ES41_10kmE325N229	ha	2400
ES41_10kmE325N229	flg	
ES41_10kmE325N230	ha	0
ES41_10kmE325N230	flg	-1
ES41_10kmE325N231	ha	1290
ES41_10kmE325N231	flg	
ES41_10kmE325N232	ha	550
ES41_10kmE325N232	flg	
ES41_10kmE326N209	ha	280
ES41_10kmE326N209	flg	
ES41_10kmE326N210	ha	310
ES41_10kmE326N210	flg	
ES41_10kmE326N211	ha	250
ES41_10kmE326N211	flg	
ES41_10kmE326N212	ha	230
ES41_10kmE326N212	flg	
ES41_10kmE326N213	ha	600
ES41_10kmE326N213	flg	
ES41_10kmE326N214	ha	510
ES41_10kmE326N214	flg	
ES41_10kmE326N215	ha	0
ES41_10kmE326N215	flg	-1
ES41_10kmE326N216	ha	3410
ES41_10kmE326N216	flg	
ES41_10kmE326N217	ha	2700
ES41_10kmE326N217	flg	
ES41_10kmE326N218	ha	960
ES41_10kmE326N218	flg	
ES41_10kmE326N219	ha	2090
ES41_10kmE326N219	flg	
ES41_10kmE326N226	ha	310
ES41_10kmE326N226	flg	
ES41_10kmE327N208	ha	180
ES41_10kmE327N208	flg	
ES41_10kmE327N209	ha	120
ES41_10kmE327N209	flg	
ES41_10kmE327N210	ha	1260
ES41_10kmE327N210	flg	
ES41_10kmE327N211	ha	1550
ES41_10kmE327N211	flg	
ES41_10kmE327N212	ha	240
ES41_10kmE327N212	flg	
ES41_10kmE327N213	ha	80
ES41_10kmE327N213	flg	
ES41_10kmE327N214	ha	220
ES41_10kmE327N214	flg	
ES41_10kmE327N215	ha	410
ES41_10kmE327N215	flg	
ES41_10kmE327N216	ha	1460
ES41_10kmE327N216	flg	
ES41_10kmE327N217	ha	0
ES41_10kmE327N217	flg	-1
ES41_10kmE327N218	ha	650
ES41_10kmE327N218	flg	
ES41_10kmE327N226	ha	60
ES41_10kmE327N226	flg	
ES41_10kmE327N227	ha	130
ES41_10kmE327N227	flg	
ES41_10kmE328N208	ha	1140
ES41_10kmE328N208	flg	
ES41_10kmE328N209	ha	0
ES41_10kmE328N209	flg	-1
ES41_10kmE328N210	ha	650
ES41_10kmE328N210	flg	
ES41_10kmE328N211	ha	400
ES41_10kmE328N211	flg	
ES41_10kmE328N212	ha	140
ES41_10kmE328N212	flg	
ES41_10kmE328N213	ha	660
ES41_10kmE328N213	flg	
ES41_10kmE328N214	ha	1100
ES41_10kmE328N214	flg	
ES41_10kmE328N215	ha	210
ES41_10kmE328N215	flg	
ES41_10kmE328N216	ha	390
ES41_10kmE328N216	flg	
ES41_10kmE328N217	ha	1990
ES41_10kmE328N217	flg	
ES41_10kmE328N218	ha	3140
ES41_10kmE328N218	flg	
ES41_10kmE328N219	ha	0
ES41_10kmE328N219	flg	-1
ES41_10kmE328N225	ha	0
ES41_10kmE328N225	flg	-1
ES41_10kmE328N226	ha	280
ES41_10kmE328N226	flg	
ES41_10kmE328N227	ha	200
ES41_10kmE328N227	flg	
ES41_10kmE329N208	ha	0
ES41_10kmE329N208	flg	-1
ES41_10kmE329N209	ha	750
ES41_10kmE329N209	flg	
ES41_10kmE329N210	ha	270
ES41_10kmE329N210	flg	
ES41_10kmE329N211	ha	400
ES41_10kmE329N211	flg	
ES41_10kmE329N212	ha	1890
ES41_10kmE329N212	flg	
ES41_10kmE329N213	ha	130
ES41_10kmE329N213	flg	
ES41_10kmE329N214	ha	260
ES41_10kmE329N214	flg	
ES41_10kmE329N215	ha	1090
ES41_10kmE329N215	flg	
ES41_10kmE329N216	ha	1190
ES41_10kmE329N216	flg	
ES41_10kmE329N217	ha	2680
ES41_10kmE329N217	flg	
ES41_10kmE329N218	ha	6230
ES41_10kmE329N218	flg	
ES41_10kmE329N219	ha	1610
ES41_10kmE329N219	flg	
ES41_10kmE329N225	ha	0
ES41_10kmE329N225	flg	-1
ES41_10kmE329N226	ha	250
ES41_10kmE329N226	flg	
ES41_10kmE330N207	ha	0
ES41_10kmE330N207	flg	-1
ES41_10kmE330N208	ha	150
ES41_10kmE330N208	flg	
ES41_10kmE330N209	ha	0
ES41_10kmE330N209	flg	-1
ES41_10kmE330N210	ha	0
ES41_10kmE330N210	flg	-1
ES41_10kmE330N211	ha	200
ES41_10kmE330N211	flg	
ES41_10kmE330N212	ha	210
ES41_10kmE330N212	flg	
ES41_10kmE330N213	ha	1910
ES41_10kmE330N213	flg	
ES41_10kmE330N214	ha	300
ES41_10kmE330N214	flg	
ES41_10kmE330N215	ha	270
ES41_10kmE330N215	flg	
ES41_10kmE330N216	ha	640
ES41_10kmE330N216	flg	
ES41_10kmE330N217	ha	2300
ES41_10kmE330N217	flg	
ES41_10kmE330N218	ha	600
ES41_10kmE330N218	flg	
ES41_10kmE330N219	ha	2220
ES41_10kmE330N219	flg	
ES41_10kmE331N211	ha	100
ES41_10kmE331N211	flg	
ES41_10kmE331N212	ha	130
ES41_10kmE331N212	flg	
ES41_10kmE331N213	ha	1900
ES41_10kmE331N213	flg	
ES41_10kmE331N214	ha	420
ES41_10kmE331N214	flg	
ES41_10kmE331N215	ha	2710
ES41_10kmE331N215	flg	
ES41_10kmE331N216	ha	180
ES41_10kmE331N216	flg	
ES41_10kmE331N217	ha	2920
ES41_10kmE331N217	flg	
ES41_10kmE331N218	ha	0
ES41_10kmE331N218	flg	-1
ES41_10kmE331N219	ha	0
ES41_10kmE331N219	flg	-1
ES41_10kmE332N211	ha	0
ES41_10kmE332N211	flg	-1
ES41_10kmE332N212	ha	50
ES41_10kmE332N212	flg	
ES41_10kmE332N213	ha	2920
ES41_10kmE332N213	flg	
ES41_10kmE332N214	ha	790
ES41_10kmE332N214	flg	
ES41_10kmE332N215	ha	2180
ES41_10kmE332N215	flg	
ES41_10kmE332N216	ha	470
ES41_10kmE332N216	flg	
ES41_10kmE332N217	ha	0
ES41_10kmE332N217	flg	
ES41_10kmE333N214	ha	4160
ES41_10kmE333N214	flg	
ES41_10kmE333N215	ha	1420
ES41_10kmE333N215	flg	
ES41_10kmE333N216	ha	730
ES41_10kmE333N216	flg	
ES42_10kmE300N200	ha	0
ES42_10kmE300N200	flg	-1
ES42_10kmE301N186	ha	350
ES42_10kmE301N186	flg	
ES42_10kmE301N198	ha	220
ES42_10kmE301N198	flg	
ES42_10kmE301N199	ha	670
ES42_10kmE301N199	flg	
ES42_10kmE301N200	ha	1190
ES42_10kmE301N200	flg	
ES42_10kmE301N201	ha	1650
ES42_10kmE301N201	flg	
ES42_10kmE301N202	ha	740
ES42_10kmE301N202	flg	
ES42_10kmE302N185	ha	3470
ES42_10kmE302N185	flg	
ES42_10kmE302N186	ha	4940
ES42_10kmE302N186	flg	
ES42_10kmE302N187	ha	1140
ES42_10kmE302N187	flg	
ES42_10kmE302N189	ha	940
ES42_10kmE302N189	flg	
ES42_10kmE302N195	ha	580
ES42_10kmE302N195	flg	
ES42_10kmE302N196	ha	3130
ES42_10kmE302N196	flg	
ES42_10kmE302N197	ha	380
ES42_10kmE302N197	flg	
ES42_10kmE302N198	ha	1360
ES42_10kmE302N198	flg	
ES42_10kmE302N199	ha	1950
ES42_10kmE302N199	flg	
ES42_10kmE302N200	ha	1300
ES42_10kmE302N200	flg	
ES42_10kmE302N201	ha	1010
ES42_10kmE302N201	flg	
ES42_10kmE302N202	ha	200
ES42_10kmE302N202	flg	
ES42_10kmE303N185	ha	1210
ES42_10kmE303N185	flg	
ES42_10kmE303N186	ha	5310
ES42_10kmE303N186	flg	
ES42_10kmE303N187	ha	1050
ES42_10kmE303N187	flg	
ES42_10kmE303N188	ha	2400
ES42_10kmE303N188	flg	
ES42_10kmE303N189	ha	1390
ES42_10kmE303N189	flg	
ES42_10kmE303N190	ha	350
ES42_10kmE303N190	flg	
ES42_10kmE303N193	ha	90
ES42_10kmE303N193	flg	
ES42_10kmE303N194	ha	390
ES42_10kmE303N194	flg	
ES42_10kmE303N195	ha	180
ES42_10kmE303N195	flg	
ES42_10kmE303N196	ha	1030
ES42_10kmE303N196	flg	
ES42_10kmE303N197	ha	930
ES42_10kmE303N197	flg	
ES42_10kmE303N198	ha	1600
ES42_10kmE303N198	flg	
ES42_10kmE303N199	ha	2550
ES42_10kmE303N199	flg	
ES42_10kmE303N200	ha	2150
ES42_10kmE303N200	flg	
ES42_10kmE303N201	ha	1270
ES42_10kmE303N201	flg	
ES42_10kmE304N183	ha	570
ES42_10kmE304N183	flg	
ES42_10kmE304N184	ha	3070
ES42_10kmE304N184	flg	
ES42_10kmE304N185	ha	2840
ES42_10kmE304N185	flg	
ES42_10kmE304N186	ha	1250
ES42_10kmE304N186	flg	
ES42_10kmE304N187	ha	2330
ES42_10kmE304N187	flg	
ES42_10kmE304N188	ha	1320
ES42_10kmE304N188	flg	
ES42_10kmE304N189	ha	1310
ES42_10kmE304N189	flg	
ES42_10kmE304N190	ha	1010
ES42_10kmE304N190	flg	
ES42_10kmE304N191	ha	310
ES42_10kmE304N191	flg	
ES42_10kmE304N193	ha	400
ES42_10kmE304N193	flg	
ES42_10kmE304N194	ha	460
ES42_10kmE304N194	flg	
ES42_10kmE304N195	ha	510
ES42_10kmE304N195	flg	
ES42_10kmE304N196	ha	1020
ES42_10kmE304N196	flg	
ES42_10kmE304N197	ha	840
ES42_10kmE304N197	flg	
ES42_10kmE304N198	ha	710
ES42_10kmE304N198	flg	
ES42_10kmE304N199	ha	1070
ES42_10kmE304N199	flg	
ES42_10kmE304N200	ha	760
ES42_10kmE304N200	flg	
ES42_10kmE304N201	ha	2300
ES42_10kmE304N201	flg	
ES42_10kmE305N182	ha	360
ES42_10kmE305N182	flg	
ES42_10kmE305N183	ha	1560
ES42_10kmE305N183	flg	
ES42_10kmE305N184	ha	0
ES42_10kmE305N184	flg	-1
ES42_10kmE305N185	ha	3020
ES42_10kmE305N185	flg	
