Spat_code	unit	B_3_99
AT12_10kmE469N278	ha	4750
AT12_10kmE469N278	flg	
AT12_10kmE469N279	ha	2390
AT12_10kmE469N279	flg	
AT12_10kmE469N280	ha	2690
AT12_10kmE469N280	flg	
AT12_10kmE469N281	ha	1470
AT12_10kmE469N281	flg	
AT12_10kmE469N282	ha	1200
AT12_10kmE469N282	flg	
AT12_10kmE469N283	ha	2240
AT12_10kmE469N283	flg	
AT12_10kmE469N284	ha	2120
AT12_10kmE469N284	flg	
AT12_10kmE469N285	ha	2000
AT12_10kmE469N285	flg	
AT12_10kmE469N286	ha	1780
AT12_10kmE469N286	flg	
AT12_10kmE469N287	ha	2190
AT12_10kmE469N287	flg	
AT12_10kmE469N288	ha	1670
AT12_10kmE469N288	flg	
AT12_10kmE470N276	ha	1020
AT12_10kmE470N276	flg	
AT12_10kmE470N277	ha	2810
AT12_10kmE470N277	flg	
AT12_10kmE470N278	ha	5640
AT12_10kmE470N278	flg	
AT12_10kmE470N279	ha	2710
AT12_10kmE470N279	flg	
AT12_10kmE470N280	ha	2240
AT12_10kmE470N280	flg	
AT12_10kmE470N281	ha	2660
AT12_10kmE470N281	flg	
AT12_10kmE470N282	ha	2330
AT12_10kmE470N282	flg	
AT12_10kmE470N283	ha	1870
AT12_10kmE470N283	flg	
AT12_10kmE470N284	ha	1020
AT12_10kmE470N284	flg	
AT12_10kmE470N285	ha	1950
AT12_10kmE470N285	flg	
AT12_10kmE470N286	ha	2210
AT12_10kmE470N286	flg	
AT12_10kmE470N287	ha	2120
AT12_10kmE470N287	flg	
AT12_10kmE470N288	ha	1140
AT12_10kmE470N288	flg	
AT12_10kmE471N275	ha	440
AT12_10kmE471N275	flg	
AT12_10kmE471N276	ha	630
AT12_10kmE471N276	flg	
AT12_10kmE471N277	ha	3240
AT12_10kmE471N277	flg	
AT12_10kmE471N278	ha	4920
AT12_10kmE471N278	flg	
AT12_10kmE471N279	ha	1990
AT12_10kmE471N279	flg	
AT12_10kmE471N280	ha	1710
AT12_10kmE471N280	flg	
AT12_10kmE471N281	ha	1920
AT12_10kmE471N281	flg	
AT12_10kmE471N282	ha	2840
AT12_10kmE471N282	flg	
AT12_10kmE471N283	ha	2090
AT12_10kmE471N283	flg	
AT12_10kmE471N284	ha	880
AT12_10kmE471N284	flg	
AT12_10kmE471N285	ha	1000
AT12_10kmE471N285	flg	
AT12_10kmE471N286	ha	1650
AT12_10kmE471N286	flg	
AT12_10kmE471N287	ha	1450
AT12_10kmE471N287	flg	
AT12_10kmE471N288	ha	1040
AT12_10kmE471N288	flg	
AT12_10kmE472N276	ha	460
AT12_10kmE472N276	flg	
AT12_10kmE472N277	ha	2250
AT12_10kmE472N277	flg	
AT12_10kmE472N278	ha	5250
AT12_10kmE472N278	flg	
AT12_10kmE472N279	ha	1970
AT12_10kmE472N279	flg	
AT12_10kmE472N280	ha	990
AT12_10kmE472N280	flg	
AT12_10kmE472N281	ha	1000
AT12_10kmE472N281	flg	
AT12_10kmE472N282	ha	890
AT12_10kmE472N282	flg	
AT12_10kmE472N283	ha	1950
AT12_10kmE472N283	flg	
AT12_10kmE472N284	ha	1820
AT12_10kmE472N284	flg	
AT12_10kmE472N285	ha	1230
AT12_10kmE472N285	flg	
AT12_10kmE472N286	ha	1820
AT12_10kmE472N286	flg	
AT12_10kmE472N287	ha	1460
AT12_10kmE472N287	flg	
AT12_10kmE472N288	ha	380
AT12_10kmE472N288	flg	
AT12_10kmE473N275	ha	150
AT12_10kmE473N275	flg	
AT12_10kmE473N276	ha	1800
AT12_10kmE473N276	flg	
AT12_10kmE473N277	ha	820
AT12_10kmE473N277	flg	
AT12_10kmE473N278	ha	3430
AT12_10kmE473N278	flg	
AT12_10kmE473N279	ha	2880
AT12_10kmE473N279	flg	
AT12_10kmE473N280	ha	740
AT12_10kmE473N280	flg	
AT12_10kmE473N281	ha	860
AT12_10kmE473N281	flg	
AT12_10kmE473N282	ha	500
AT12_10kmE473N282	flg	
AT12_10kmE473N283	ha	400
AT12_10kmE473N283	flg	
AT12_10kmE473N284	ha	1710
AT12_10kmE473N284	flg	
AT12_10kmE473N285	ha	1120
AT12_10kmE473N285	flg	
AT12_10kmE473N286	ha	800
AT12_10kmE473N286	flg	
AT12_10kmE473N287	ha	1100
AT12_10kmE473N287	flg	
AT12_10kmE474N275	ha	590
AT12_10kmE474N275	flg	
AT12_10kmE474N276	ha	810
AT12_10kmE474N276	flg	
AT12_10kmE474N277	ha	960
AT12_10kmE474N277	flg	
AT12_10kmE474N278	ha	3990
AT12_10kmE474N278	flg	
AT12_10kmE474N279	ha	3140
AT12_10kmE474N279	flg	
AT12_10kmE474N280	ha	850
AT12_10kmE474N280	flg	
AT12_10kmE474N281	ha	350
AT12_10kmE474N281	flg	
AT12_10kmE474N282	ha	270
AT12_10kmE474N282	flg	
AT12_10kmE474N283	ha	500
AT12_10kmE474N283	flg	
AT12_10kmE474N284	ha	680
AT12_10kmE474N284	flg	
AT12_10kmE474N285	ha	800
AT12_10kmE474N285	flg	
AT12_10kmE474N286	ha	850
AT12_10kmE474N286	flg	
AT12_10kmE474N287	ha	410
AT12_10kmE474N287	flg	
AT12_10kmE475N274	ha	1050
AT12_10kmE475N274	flg	
AT12_10kmE475N275	ha	100
AT12_10kmE475N275	flg	
AT12_10kmE475N276	ha	710
AT12_10kmE475N276	flg	
AT12_10kmE475N277	ha	230
AT12_10kmE475N277	flg	
AT12_10kmE475N278	ha	3390
AT12_10kmE475N278	flg	
AT12_10kmE475N279	ha	3910
AT12_10kmE475N279	flg	
AT12_10kmE475N280	ha	1650
AT12_10kmE475N280	flg	
AT12_10kmE475N281	ha	970
AT12_10kmE475N281	flg	
AT12_10kmE475N282	ha	200
AT12_10kmE475N282	flg	
AT12_10kmE475N283	ha	250
AT12_10kmE475N283	flg	
AT12_10kmE475N284	ha	430
AT12_10kmE475N284	flg	
AT12_10kmE475N285	ha	230
AT12_10kmE475N285	flg	
AT12_10kmE475N286	ha	550
AT12_10kmE475N286	flg	
AT12_10kmE475N287	ha	210
AT12_10kmE475N287	flg	
AT12_10kmE476N273	ha	620
AT12_10kmE476N273	flg	
AT12_10kmE476N274	ha	2500
AT12_10kmE476N274	flg	
AT12_10kmE476N275	ha	2190
AT12_10kmE476N275	flg	
AT12_10kmE476N276	ha	1670
AT12_10kmE476N276	flg	
AT12_10kmE476N277	ha	820
AT12_10kmE476N277	flg	
AT12_10kmE476N278	ha	2820
AT12_10kmE476N278	flg	
AT12_10kmE476N279	ha	1200
AT12_10kmE476N279	flg	
AT12_10kmE476N280	ha	1940
AT12_10kmE476N280	flg	
AT12_10kmE476N281	ha	980
AT12_10kmE476N281	flg	
AT12_10kmE476N282	ha	290
AT12_10kmE476N282	flg	
AT12_10kmE476N283	ha	140
AT12_10kmE476N283	flg	
AT12_10kmE476N284	ha	170
AT12_10kmE476N284	flg	
AT12_10kmE476N285	ha	260
AT12_10kmE476N285	flg	
AT12_10kmE476N286	ha	280
AT12_10kmE476N286	flg	
AT12_10kmE477N272	ha	170
AT12_10kmE477N272	flg	
AT12_10kmE477N273	ha	2780
AT12_10kmE477N273	flg	
AT12_10kmE477N274	ha	2190
AT12_10kmE477N274	flg	
AT12_10kmE477N275	ha	1070
AT12_10kmE477N275	flg	
AT12_10kmE477N276	ha	1800
AT12_10kmE477N276	flg	
AT12_10kmE477N277	ha	890
AT12_10kmE477N277	flg	
AT12_10kmE477N278	ha	1520
AT12_10kmE477N278	flg	
AT12_10kmE477N279	ha	1670
AT12_10kmE477N279	flg	
AT12_10kmE477N280	ha	830
AT12_10kmE477N280	flg	
AT12_10kmE477N281	ha	750
AT12_10kmE477N281	flg	
AT12_10kmE477N282	ha	500
AT12_10kmE477N282	flg	
AT12_10kmE477N283	ha	540
AT12_10kmE477N283	flg	
