Spat_code	Unit	C_LIVEST_L	AGRAREA	B_1	B_1_1	B_1_1_1	B_1_1_2	B_1_1_3	B_1_1_4	B_1_1_5	B_1_1_6	B_1_1_7	B_1_1_99	B_1_2	B_1_2_1	B_1_2_2	B_1_345	B_1_3	B_1_4	B_1_5	B_1_6	B_1_6_1	B_1_6_2	B_1_6_3	B_1_6_4	B_1_6_5	B_1_6_6	B_1_6_7	B_1_6_8	B_1_6_9	B_1_6_10	B_1_6_11	B_1_6_7_11	B_1_6_12	B_1_6_99	B_1_7	B_1_7_1	B_1_7_1_1	B_1_7_1_2	B_1_7_2	B_1_8	B_1_8_1	B_1_8_2	B_1_9	B_1_9_1	B_1_9_2	B_1_9_2_1	B_1_9_2_2	B_1_9_2_2_99	B_1_9_2_99	B_1_10_11	B_1_10	B_1_11	B_1_12	B_1_12_1	B_1_12_2	B_2	B_3	B_3_1	B_3_2	B_3_3	B_4	B_4_1	B_4_1_1	B_4_1_1_1	B_4_1_1_2	B_4_1_2	B_4_1_3	B_4_2	B_4_3	B_4_3_1	B_4_3_2	B_4_4	B_4_4_1	B_4_4_2	B_4_4_3	B_4_4_4	B_4_5	B_4_6	B_4_7	C_1L	C_1_3L	C_2_1_2_5L	C_2L	C_21399L	C_2_1L	C_2_2L	C_2_3L	C_2_4L	C_2_5L	C_2_6L	C_2_99L	C_2_6_99L	C_3L	C_3_1L	C_3_1_1L	C_3_1_99L	C_3_2L	C_3_2_1L	C_3_2_99L	C_4_5_6L	C_4L	C_4_1L	C_4_2L	C_4_99L	C_5L	C_5_1L	C_5_2L	C_5_3L	C_6L
*PT20	ha	205680	120410	12080	280	0	0	0	0	0	280	0	10	70	30	40	600	460	140	0	40	40	0	0	0	0	0	0	0	0	0	0	0	0	0	460	440	190	240	20	120	110	10	10400	0	10400	10270	0	130	130	100	10	100	0	0	0	520	105790	90290	15500	0	2020	600	540	100	430	0	70	440	0	0	0	930	100	810	10	0	10	40	0	2190	189570	73800	186180	187370	27820	7320	21760	3350	13560	92380	20000	112390	1190	390	280	100	800	640	160	16120	10720	300	2620	7810	5310	1720	3090	500	90
*PT20	flg																																	-1	-1																																																																											
*PT30	ha	13270	5430	2240	60	20	0	0	0	0	30	0	10	0	0	0	540	540	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	120	1010	990	230	760	20	50	40	10	80	10	70	30	10	40	40	310	0	310	70	70	0	180	520	70	450	0	2480	1230	1130	280	850	0	100	100	0	0	0	1130	440	690	10	0	10	10	0	20	4290	2310	3090	4260	430	430	760	90	590	390	400	790	1170	460	370	100	710	520	190	8980	4020	130	790	3100	4920	2260	2320	340	50
*PT30	flg							-1	-1																									-1																		-1																																																										
AT11	ha	43650	187890	156320	90950	44330	3330	5850	10740	1170	20410	0	5130	4750	2480	2260	4930	790	4130	20	28190	0	0	0	10350	3710	10780	140	3010	0	20	0	3170	160	20	1390	1260	1260	0	120	10	0	10	17610	2760	14850	2960	8070	11890	3820	1200	220	990	7280	3870	3420	270	16940	11300	5400	250	14360	1050	1020	1020	0	30	0	0	0	0	0	13120	13120	0	0	0	120	70	0	2420	18230	8260	15000	15810	2660	2340	1990	410	860	4650	2080	6730	810	710	350	360	100	50	50	25420	15810	410	3020	12390	9600	90	4010	5500	0
AT11	flg																																						-1			-1																																																																				
AT12	ha	593040	911680	692090	426500	181890	13880	31660	97530	16390	57010	0	28140	14650	11100	3540	52030	17660	34280	100	72970	0	20	0	30220	20380	6210	410	11740	0	410	0	12570	2530	1040	8110	8070	8060	10	40	110	70	40	90060	17050	73010	28490	39420	44520	5100	3780	820	2970	23880	13340	10550	560	186860	177340	9050	470	32160	2360	2180	2180	0	180	0	0	0	0	0	28320	28320	0	0	0	520	960	0	13840	333880	165870	310400	320040	62860	42700	40660	3410	16220	106350	38190	144540	9640	8000	4420	3580	1640	1080	560	259160	215730	7090	43170	165470	43430	13740	21000	8690	0
AT12	flg																															-1																																																																														
AT13	ha	670	7410	5460	3140	1670	210	240	470	40	230	0	270	200	110	90	370	60	310	0	480	0	0	0	380	20	50	0	20	0	0	0	30	0	0	570	420	300	120	150	60	40	20	270	0	260	0	190	240	50	90	0	90	270	30	250	40	1140	630	0	0	780	110	100	100	0	0	0	0	0	0	0	540	540	0	0	0	110	0	0	230	320	20	40	80	0	0	0	0	10	0	0	0	50	30	10	20	20	10	10	350	340	0	20	320	10	0	10	0	0
AT13	flg																			-1											-1			-1	-1										-1		-1					-1								-1	-1						-1												-1							-1	-1	-1	-1		-1	-1	-1										-1				-1		-1	
AT21	ha	207360	253570	63590	31070	3000	0	690	5880	1520	16900	0	3090	800	750	60	390	380	0	0	3540	0	0	0	40	250	2850	20	340	0	0	0	360	0	40	190	190	180	10	0	40	10	30	26360	11750	14610	9190	4540	5420	880	140	10	130	1060	580	480	200	189430	91130	98180	120	340	180	160	160	0	20	0	0	0	0	0	50	50	0	0	0	60	60	0	7130	154890	62020	142080	147760	24480	7620	16700	2770	10450	36100	43960	80060	5680	5180	2780	2410	500	240	260	52470	35450	980	5830	28640	17020	7940	6580	2500	0
AT21	flg						-1												-1	-1											-1			-1						-1																																																																						
AT22	ha	547370	407260	141440	81510	5910	20	2340	8940	1350	59670	0	3280	750	620	130	990	740	240	10	19070	0	90	0	800	250	1520	10	16190	0	0	0	16200	110	100	930	870	830	30	60	80	20	60	33400	13170	20220	10620	8640	9600	960	650	120	540	4050	1260	2800	490	249960	170920	77220	1820	15370	9950	9370	9370	0	580	0	0	0	0	0	4550	4550	0	0	0	350	520	0	11610	263380	115670	243490	251770	42340	20430	31210	4990	16700	83390	44430	127820	8280	7420	3980	3440	870	410	450	284000	223150	5760	35800	181590	60840	15060	35480	10310	0
AT22	flg																														-1	-1																																																																														
AT31	ha	768450	529460	293690	178990	49080	30	8140	44650	12010	48120	0	16970	3220	2840	370	7770	1900	5790	90	28900	0	130	0	12140	810	13000	90	950	0	80	0	1130	1220	460	1790	1780	1770	10	10	80	40	40	65150	8750	56400	25730	25800	30670	4870	1570	640	930	6230	2250	3980	510	233580	225430	7540	610	1680	820	730	730	0	100	0	0	0	0	0	30	30	0	0	0	550	270	0	13560	434250	200150	412180	420690	75370	43940	56470	3360	21010	168460	43570	212030	8510	6170	3350	2820	2340	1440	900	334200	292140	9280	55480	227380	42060	10980	17560	13520	0
AT31	flg																															-1																																																																														
AT32	ha	141550	195110	6230	1610	260	0	40	620	240	150	0	300	10	0	0	160	150	0	10	60	0	0	0	0	0	30	0	0	0	0	0	0	0	10	150	150	150	0	0	10	10	10	4100	2550	1550	610	610	940	330	40	0	30	90	50	40	60	188710	87800	100890	20	110	50	40	40	0	20	0	0	0	0	0	0	0	0	0	0	20	30	0	6750	136660	50770	126390	129910	16870	3110	16940	1390	12470	58680	16940	75620	3520	2950	1550	1400	570	300	270	4880	2830	40	300	2490	2060	160	1780	120	0
AT32	flg						-1								-1	-1									-1	-1			-1				-1	-1					-1	-1												-1																					-1	-1																																				
AT33	ha	157470	290720	9460	830	150	0	80	240	40	70	0	250	0	0	0	480	460	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	10	760	760	760	0	0	20	0	10	7130	3180	3950	2600	1230	1350	120	40	10	30	190	170	10	70	280910	87090	193820	0	280	210	190	190	0	10	0	0	0	0	0	0	0	0	0	0	40	40	0	7180	151860	59260	135070	144670	19500	2800	21440	940	14580	57710	18090	75800	9610	8030	4270	3760	1570	940	640	5610	3720	100	660	2960	1900	0	1790	100	0
AT33	flg						-1							-1	-1	-1										-1	-1		-1				-1	-1					-1	-1		-1																			-1												-1	-1																																	-1			
AT34	ha	57610	95070	3000	200	70	0	10	20	0	50	0	40	0	0	0	40	40	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	10	80	80	70	10	0	20	20	10	2590	890	1700	1380	200	310	110	10	0	10	50	30	10	10	91930	34840	56950	0	120	80	60	60	0	20	0	0	0	0	0	10	10	0	0	0	10	20	0	2050	53080	20480	49330	51030	6960	1560	7160	280	4510	24630	4230	28850	1710	1270	680	590	430	250	190	4530	2950	50	330	2570	1580	20	1450	100	0
AT34	flg						-1			-1										-1						-1			-1				-1	-1						-1												-1									-1																																																	
BE10	ha	210	270	170	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	20	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	90	0	0	0	0	0	0	0	0		0	0	0	0			0	0	0	0	0	0	20	200	100	180	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
BE10	flg					-1			-1	-1	-1						-1	-1	-1	-1	-1													-1				-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1					-1		-1	-1					-1	-1	-1	-1		-1											-1								-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1			-1	-1	-1	-1	-1	
BE21	ha	525300	89150	65780	10880	1440	0	40	240	30	8330	0	810	60	0	30	4630	3810	360	460	80	0	0	0	30		0	0	0	0	0	0	0	0	30	2720	1980	540	1440	740	290	220	70	46580	19460	27130	26340	720	780	70	130	130	0	390	270	120	20	21820	21450	240	130	1530	370	370	370	0	0		0	0	0	0			0	0	0	1150	0	0	4130	208180	110360	202410	204050	65680	6130	24230	2230	12090	77060	14990	92050	1640	980	850	130	660	630	30	317120	226090	6860	39930	179300	90180	36940	47830	5420	850
BE21	flg														-1															-1			-1	-1																																	-1												-1	-1																														
BE22	ha	242520	83170	56510	20730	8860	0	70	2510	140	8430	0	720	50	50	0	7040	2500	4280	260	1420	0	0	0	30		0	0	0	380	0	0	390	0	980	3210	3140	2380	760	70	50	40	20	23360	8040	15320	14920	330	390	70	140	140	0	510	220	290	10	16860	16310	190	360	9790	9060	8930	8930	0	130		0	0	0	0			0	0	0	690	0	30	2360	98590	43480	94760	96240	17240	3650	13710	1570	7300	36930	14350	51280	1480	1070	990	70	410	370	40	143920	114120	3880	21580	88660	29540	16590	11370	1580	270
BE22	flg															-1													-1					-1																																													-1																															
BE23	ha	570950	149050	98840	33430	14440	0	60	1970	150	15400	0	1420	240	80	160	15630	11450	3210	970	900	0	0	0	60		0	0	0	570	0	0	580	0	250	3040	2910	2120	790	130	900	560	340	43910	10080	33830	33340	430	490	60	270	270	0	520	380	140	20	47320	46340	470	510	2870	1320	1310	1310	0	10		0	0	0	0			0	0	0	1530	0	0	5110	243490	112330	236320	238380	31700	14660	36180	4480	25320	75980	48010	123990	2050	1380	1190	200	670	640	30	327460	276980	8490	50730	217760	50380	24410	21650	4320	100
BE23	flg																					-1	-1					-1	-1					-1																																													-1	-1																														
BE24	ha	123500	87580	63230	35270	18750	0	10	5020	490	10640	0	360	60	60	0	11550	6260	4920	370	1110	0	0	0	230		0	0	0	450	0	0	450	0	410	2520	2480	900	1580	50	80	40	40	11830	2800	9030	8690	320	350	30	0	0	0	780	290	490	10	20290	19710	270	320	4050	3870	3810	3810	0	60		0	0	0	0			0	0	0	160	0	20	2270	78880	38620	75420	76610	12880	4350	11030	1610	8750	17900	18900	36800	1190	1060	910	150	130	120	10	44620	36290	990	5980	29330	8250	6700	1540	10	70
BE24	flg															-1							-1						-1					-1																	-1	-1																											-1																															
BE25	ha	1240060	207910	152660	48950	31140	0	10	2350	100	14560	0	790	180	140	40	31600	22630	7980	990	2770	60	180	0	290		0	0	0	1990	0	0	2000	0	200	17470	17100	12170	4930	370	420	320	110	49560	14390	35180	34330	670	840	170	780	780	0	930	330	600	20	54260	52680	750	830	980	500	420	420	0	80		0	0	0	0			0	0	0	470	0	0	4320	308370	144830	300920	304050	43290	19040	43190	6420	32870	89310	66780	156090	3130	2790	2360	440	340	320	20	931690	817290	23460	134750	659080	113640	43540	58160	11940	760
BE25	flg																											-1						-1																																													-1	-1																														
BE31	ha	50930	62970	52860	27580	21840	0	0	4100	160	1350	0	130	150	150	0	12960	5270	7640	50	3420	0	0	0	530		0	0	0	1040	0	0	1050	0	1850	2390	2380	2070	310	0	20	10	0	5430	620	4820	4170	210	640	430	40	40	0	870	80	790	10	9780	9540	30	210	330	180	160	160	0	0		0	0	0	0			0	0	0	150	0	0	1220	40890	20100	39410	39660	5610	3720	5740	710	4320	8120	11190	19310	260	250	200	50	10	10	0	10040	7270	120	950	6210	2770	1840	920	10	0
BE31	flg							-1								-1												-1	-1											-1			-1																								-1												-1	-1																				-1										-1
BE32	ha	303000	217210	153850	70810	56710	0	40	10050	740	2680	0	590	350	300	50	37480	21580	15470	440	6540	0	0	0	1350		0	50	0	2650	0	0	2700	50	2430	5850	5830	5530	300	10	40	30	10	30500	3470	27020	25100	790	1930	1140	80	80	0	2200	170	2030	10	63000	61780	90	1140	350	110	100	100	0	0		0	0	0	0			0	0	0	230	0	0	3130	244470	115290	240260	241340	32440	11610	36530	4050	30660	68060	56910	124970	1080	810	620	190	270	240	30	58530	39120	630	3870	34620	18320	8270	9810	240	1090
BE32	flg																					-1	-1						-1																																						-1												-1	-1																														
BE33	ha	252940	159160	66660	32910	25780	0	30	5790	400	370	0	530	150	120	0	12140	3870	8110	170	6020	0	0	0	2030		0	0	10	2470	0	0	2480	0	1510	3370	3360	3130	230	10	20	10	10	11010	1660	9350	8980	250	370	120	60	60	0	990	120	870	20	91360	90240	410	710	1130	970	970	970	0	0		0	0	0	0			0	0	0	150	0	0	2730	210930	86830	206830	208190	25140	8710	29120	3390	20470	84000	36010	120010	1360	1200	870	330	160	140	20	42020	29780	380	2500	26910	11990	5770	6170	50	240
BE33	flg															-1												-1						-1																																	-1												-1	-1																														
BE34	ha	272730	143830	35970	10560	5220	0	140	2130	1660	80	0	1330	360	340	10	570	440	0	120	390	0	0	0	380		0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	23850	14850	9000	8160	640	840	210	0	0	0	230	50	180	10	107700	106750	380	570	140	40	40	40	0	0		0	0	0	0			0	0	0	100	0	0	2010	256040	125110	252580	254020	41040	7180	37440	5650	33810	30480	96990	127470	1440	1360	960	400	90	70	10	16690	9820	80	690	9050	6850	3150	3680	20	20
BE34	flg																		-1			-1														-1	-1	-1	-1	-1	-1	-1	-1																								-1												-1																															
BE35	ha	216560	157720	90150	47890	34860	0	60	10640	990	680	0	650	440	410	30	11530	3930	7330	270	9000	0	0	0	6350		0	0	0	1400	0	0	1420	0	1240	1800	1790	1590	200	10	30	20	10	17250	4000	13250	12250	530	1000	470	30	30	0	2180	90	2090	10	67200	66340	130	730	360	270	260	260	0	10		0	0	0	0			0	0	0	90	0	0	2370	186020	91120	182040	183640	28290	10030	27150	3430	22220	32790	58130	90920	1610	1140	850	290	470	450	20	30540	21790	130	940	20720	8670	6090	2440	130	90
BE35	flg																					-1						-1	-1																																																		-1																															
BG31	ha	158340	881670	695890	403120	239430	370	720	47490	7470	106130	0	1510	1840	720	1130	580	560	10	0	254000	870	0	0	56390	195100	0	0	320	0	0	0	320	1260	60	1500	1470	920	540	40	0	0	0	15430	120	15310	3320	10160	11990	1820	50	0	10	19360	19360	0	1500	175100	104620	67720	2770	9190	4070	3110	3110	0	380	580	0	0	0	0	4950	1620	3210	120	0	150	20	0	14620	101350	15110	62380	86730	6650	1400	3760	750	2540	46550	720	47270	24350	16060	15180	880	8290	7650	650	56990	18240	340	4050	13850	38130	9170	20610	8350	620
BG31	flg																			-1				-1			-1	-1													-1	-1	-1									-1																									-1																																	
BG32	ha	193590	806130	650450	381550	232120	0	700	59730	2150	86100	0	700	2240	330	1920	290	270	0	20	234510	2870	0	0	48800	166020	500	0	10020	0	0	0	10040	6240	30	1960	1890	1110	780	70	150	140	0	22800	150	22650	3600	18370	19050	680	290	200	90	6680	6680	0	1510	142770	101280	27940	13550	11400	7780	5690	5690	0	250	1840	0	0	0	0	3290	710	2490	90	0	260	70	0	12250	94980	17600	59230	82730	7850	1880	4200	650	3020	41230	400	41630	23500	18170	15930	2240	5330	4530	810	98610	45520	1230	9800	34500	52710	18210	26080	8420	380
BG32	flg						-1												-1									-1															-1																																		-1																																	
BG33	ha	182480	804550	699130	415770	265120	2020	440	48420	3340	93920	0	2500	1650	360	1290	350	290	10	50	243480	1360	0	0	67840	161830	0	0	5110	0	0	0	5110	6680	650	3150	3080	1930	1150	80	10	10	0	23030	80	22960	3790	17260	19170	1910	230	80	160	11440	11440	0	1530	93380	68060	23210	2100	10520	5310	2920	2920	0	600	1790	0	0	0	0	4940	2780	1960	200	0	180	80	0	11720	104430	17440	62290	92710	8050	2140	3810	620	2820	44420	440	44860	30420	25460	21140	4320	4960	4410	550	78050	37810	670	7520	29620	39710	10170	21680	7870	530
BG33	flg																										-1	-1															-1																																		-1																																	
BG34	ha	219220	874260	618080	339110	226740	12670	3000	73130	3100	9900	1690	8900	1220	340	880	870	850	0	20	224920	2540	0	0	34630	129430	40	0	2500	0	0	0	2500	53710	2050	4080	3960	2170	1790	120	10	10	10	17800	290	17510	4140	11830	13370	1550	90	50	40	29980	29980	0	1770	222960	138280	68980	15710	31450	12850	9170	9170	0	230	3450	0	0	0	0	18190	6820	10490	890	0	220	190	0	10390	131300	23840	85430	120910	10170	2780	5930	1170	3800	58240	3350	61590	35480	28380	25890	2480	7100	6170	930	87910	45560	1120	8940	35510	41770	9440	14400	17940	580
BG34	flg																		-1					-1				-1		-1	-1																																														-1																																	
BG41	ha	122150	480870	120390	70570	45040	370	2610	5870	6070	9010	0	1600	670	160	510	6160	6120	0	40	20900	3400	0	0	950	15980	0	0	40	0	0	0	40	520	0	2050	1810	730	1080	250	20	10	10	4850	160	4690	1420	2620	3270	650	20	10	20	15150	15150	0	1340	349980	113970	221900	14110	9180	5290	4790	4790	0	350	140	0	0	0	0	3660	1770	1730	170	0	190	40	0	17830	98310	13540	52970	80480	6660	1300	2350	1380	1840	34110	5330	39430	27500	20430	18820	1610	7080	6380	700	23840	10980	270	2740	7970	12500	2470	8880	1160	370
BG41	flg																		-1					-1			-1	-1							-1																																										-1																																	
BG42	ha	273690	628040	341000	177680	120790	5020	4690	17700	3250	10100	10490	5660	730	230	500	5490	5470	10	10	99190	13560	0	550	14580	64140	0	0	1390	0	0	0	1400	4520	330	11720	11230	7260	3970	500	50	30	20	22080	300	21780	4260	15640	17520	1880	190	160	30	23870	23870	0	2720	256400	101870	146700	7830	27920	10200	7930	7930	0	590	1680	0	0	0	0	17300	9630	6290	1370	0	340	80	0	23290	214060	36750	151610	190760	18040	3110	7950	1890	5750	109240	5620	114860	39150	33030	30290	2740	6120	5300	820	59630	19280	190	3730	15360	39920	3490	18620	17810	420
BG42	flg																						-1				-1	-1		-1	-1																																														-1																																	
CH01	ha	148720	157670	82220	38380	25590	0	660	5470	280	4260	0	2120	1690	1690	0	6740	2030	4560	150	10490	190	0	0	7900	1770	400	0	0	70	0	0	80	90	60	1950	1790	70	1720	150	120	50	70	21940	15920	6020	6020	0	0	0	210	110	100	700	0	700	40	62910	41500	21410	0	12500	3180	3090	3090	0	90	0	0	0	0	0	9120	9120	0	0	0	170	40	0	9810	126970	51050	108000	117150	18600	3340	16290	940	11880	46800	10140	56940	9160	8130	4580	3550	1020	670	350	21750	12460	140	1290	11030	9220	4930	3940	350	70
CH01	flg																						-1						-1		-1																																																																															
CH02	ha	615810	369650	161340	54620	30210	0	860	12870	1040	4530	0	5100	1270	1270	0	11960	5670	5720	560	6990	320	0	0	5830	530	130	0	0	20	0	0	20	80	80	2960	2860	310	2550	100	100	70	40	82640	65160	17480	17480	0	0	0	140	50	90	660	0	660	70	206420	141220	65200	0	1820	530	460	460	0	70	0	0	0	0	0	910	910	0	0	0	240	130	0	23810	475450	190760	440140	451650	75520	7500	67220	2370	38150	219720	29660	249380	11510	9240	5040	4200	2260	1370	900	140360	110040	2270	18700	89070	29720	17710	11120	890	590
CH02	flg																						-1						-1		-1																																																																															
CH03	ha	132440	83120	46200	18630	11110	0	220	3660	150	2180	0	1310	260	260	0	2040	850	1170	20	2970	10	0	0	2590	180	120	0	0	10	0	0	10	10	30	1870	1810	670	1140	60	80	50	40	19900	13760	6150	6150	0	0	0	30	10	30	420	0	420	30	35420	27120	8300	0	1460	790	730	730	0	50	0	0	0	0	0	440	440	0	0	0	100	130	0	7060	91760	35470	81320	84700	18480	2850	9590	640	3920	37600	8240	45840	3380	3080	1580	1500	300	160	140	40680	30850	610	5420	24820	9230	2720	6480	40	600
CH03	flg																						-1						-1		-1																																																																															
CH04	ha	91910	73470	37970	15230	9430	0	290	2180	140	2540	0	660	200	200	0	3780	940	2830	10	2940	20	10	0	2090	570	180	0	10	30	0	0	30	30	0	1580	1540	300	1240	50	120	80	40	13790	8790	5000	5000	0	0	0	60	20	40	270	0	270	40	34070	27430	6640	0	1380	460	400	400	0	60	0	0	0	0	0	600	600	0	0	0	230	100	0	6500	76920	26750	68440	70420	13580	1940	7120	580	3510	35940	5750	41690	1980	1700	970	730	280	160	120	14990	10530	210	1930	8390	4400	1210	3020	170	60
CH04	flg																														-1				-1																																																																											
CH05	ha	442480	216820	45520	16380	10320	0	190	2920	130	2220	0	610	290	290	0	4620	1150	3400	70	3070	10	0	0	2330	500	110	0	20	20	0	0	40	40	40	2030	1950	470	1480	80	50	20	20	18580	11650	6930	6930	0	0	0	210	190	20	290	0	290	0	167340	148020	19320	0	3960	2380	2250	2250	0	130	0	0	0	0	0	1260	1260	0	0	0	180	130	0	11270	292470	104630	265400	281190	43990	4040	33470	1370	21750	140310	20460	160770	15800	13450	7550	5900	2350	1420	920	150010	126220	2130	18240	105840	23530	7660	14800	1070	260
CH05	flg																						-1																																		-1																																																					
CH06	ha	348370	132860	30310	7630	4290	0	20	1820	50	830	0	640	100	100	0	460	190	160	110	1110	20	0	0	1050	0	10	0	0	0	0	0	0	20	10	210	170	30	140	40	60	30	30	20710	15710	5000	5000	0	0	0	10	0	10	30	0	30	0	101870	85720	16150	0	680	450	390	390	0	60	0	0	0	0	0	90	90	0	0	0	50	90	0	5870	205890	74390	192630	200020	31530	1970	24840	1020	15030	104500	13730	118240	7390	6100	3360	2740	1290	780	510	142480	130220	2880	23880	103450	11870	4800	7010	70	400
CH06	flg																									-1			-1	-1			-1																								-1																																																					
CH07	ha	14020	14220	1770	630	180	0	0	30	0	340	0	80	0	0	0	50	50	0	0	160	0	0	0	0	0	140	0	0	0	0	0	0	0	0	200	130	0	130	70	10	0	0	590	420	180	180	0	0	0	110	0	110	20	0	20	0	11620	8460	3160	0	820	30	30	30	0	0	0	0	0	0	0	670	670	0	0	0	10	110	0	1690	12640	2860	8050	10950	1060	120	810	130	750	4150	1040	5190	2900	1700	970	730	1200	920	280	1380	580	50	310	220	780	40	710	30	20
CH07	flg							-1		-1				-1	-1					-1					-1	-1								-1	-1			-1				-1	-1														-1										-1																																											
