Spat_code	Unit	C_LIVEST_L	AGRAREA	B_1	B_1_1	B_1_1_1	B_1_1_2	B_1_1_3	B_1_1_4	B_1_1_5	B_1_1_6	B_1_1_7	B_1_1_99	B_1_2	B_1_2_1	B_1_2_2	B_1_345	B_1_3	B_1_4	B_1_5	B_1_6	B_1_6_1	B_1_6_2	B_1_6_3	B_1_6_4	B_1_6_5	B_1_6_6	B_1_6_7	B_1_6_8	B_1_6_9	B_1_6_10	B_1_6_11	B_1_6_7_11	B_1_6_12	B_1_6_99	B_1_7	B_1_7_1	B_1_7_1_1	B_1_7_1_2	B_1_7_2	B_1_8	B_1_8_1	B_1_8_2	B_1_9	B_1_9_1	B_1_9_2	B_1_9_2_1	B_1_9_2_2	B_1_9_2_2_99	B_1_9_2_99	B_1_10_11	B_1_10	B_1_11	B_1_12	B_1_12_1	B_1_12_2	B_2	B_3	B_3_1	B_3_2	B_3_3	B_4	B_4_1	B_4_1_1	B_4_1_1_1	B_4_1_1_2	B_4_1_2	B_4_1_3	B_4_2	B_4_3	B_4_3_1	B_4_3_2	B_4_4	B_4_4_1	B_4_4_2	B_4_4_3	B_4_4_4	B_4_5	B_4_6	B_4_7	C_1L	C_1_3L	C_2_1_2_5L	C_2L	C_21399L	C_2_1L	C_2_2L	C_2_3L	C_2_4L	C_2_5L	C_2_6L	C_2_99L	C_2_6_99L	C_3L	C_3_1L	C_3_1_1L	C_3_1_99L	C_3_2L	C_3_2_1L	C_3_2_99L	C_4_5_6L	C_4L	C_4_1L	C_4_2L	C_4_99L	C_5L	C_5_1L	C_5_2L	C_5_3L	C_6L
*ES70	ha	85800	55070	14280	1260	90	160	70	220	290	400	0	30	210	50	160	2840	2650	10	190	110	0	0	0	0	0	0	0	0	0	0	0	0	60	40	4170	1570	760	810	2590	700	400	310	740	70	670	290	30	370	350	40	40	0	4210	4010	190	50	24520	5250	18210	1050	16230	10250	9960	480	9480	10	270	900	110	60	50	4480	2390	1700	390	0	0	60	440	1400	42040	5120	12280	40630	1100	1010	1430	740	850	5750	1400	7160	28360	6190	5290	910	22160	20000	2160	43760	12550	530	5040	6980	30970	7690	21790	1490	240
*ES70	flg																									-1			-1				-1																																																																													
*FR91	ha	38600	31420	17680	0	0	0	0	0	0	0	0	0	10	0	10	660	660	0	0	14320	0	0	0	0	0	0	0	0	0	0	0	0	130	14180	1230	1210	730	480	30	140	130	10	70	50	10	0	0	10	0	0	0	0	1230	1230	0	70	10270	6340	3930	0	3400	3050	3050	0	3050	0	0	350	0			0	0	0	0	0	0	0		300	30570	15560	28530	30270	2870	1600	1520	5410	4170	0	12960	12960	1740	150	110	40	1590	1030	560	8030	4010	130	1200	2680	3970	700	2890	380	50
*FR91	flg				-1						-1	-1	-1							-1									-1				-1															-1		-1	-1	-1	-1												-1		-1											-1	-1																															
*FR92	ha	23630	24980	9180	0	0	0	0	0	0	0	0	0	0	0	0	660	660	0	0	4180	0	0	0	0	0	0	0	0	0	0	0	0	110	4070	1940	1930	1790	140	10	150	140	10	170	160	20	0	0	20	20	0	0	0	2060	2060	0	10	8430	6090	2340	0	7360	7010	7010	10	7010	0	0	340	0			0	0	0	0	0	10	0		330	15150	7410	13090	14810	1880	610	950	1830	2130	240	5440	5680	1720	1160	670	490	570	390	180	8480	2620	90	540	2000	5800	1870	3600	340	60
*FR92	flg																			-1		-1							-1				-1															-1			-1	-1	-1																										-1																															
*FR93	ha	13160	25350	12450	3240	0	0	0	0	0	360	2860	20	0	0	0	5090	5090	0	0	1390	0	0	0	0	0	0	0	510	0	0	0	510	230	650	1150	1130	850	280	10	30	30	0	380	350	30	0	0	20	20	770	0	750	410	410	0	120	9100	6520	2580	0	3670	2470	2470	20	2450	0	0	1190	0			0	0	0	0	0	10	0		340	10300	5750	9640	9960	1770	680	800	1110	1400	520	3360	3890	320	120	90	40	200	150	50	2860	1370	30	370	970	1490	150	880	460	0
*FR93	flg													-1		-1				-1		-1																					-1				-1	-1				-1																											-1																															-1
*FR94	ha	70880	42810	29720	100	0	0	0	0	0	100	0	0	20	0	20	300	300	0	0	24840	0	0	0	0	0	0	0	10	0	0	0	10	490	24340	1670	1630	50	1580	50	170	130	40	1890	1370	520	80	40	440	400	10	0	0	720	720	0	90	10150	8060	2090	0	2860	2470	2470	70	2400	0	0	310	0			20	0	10	0	0	40	20		650	22280	8510	19570	21630	2960	1240	2000	820	1490	3480	7580	11060	2060	250	190	60	1810	1220	590	48600	17050	560	3740	12740	31370	13280	9650	8440	180
*FR94	flg											-1	-1							-1																																-1	-1																							-1																																		
