Spat_code	Unit	C_LIVEST_L	AGRAREA	B_1	B_1_1	B_1_1_1	B_1_1_2	B_1_1_3	B_1_1_4	B_1_1_5	B_1_1_6	B_1_1_7	B_1_1_99	B_1_2	B_1_2_1	B_1_2_2	B_1_345	B_1_3	B_1_4	B_1_5	B_1_6	B_1_6_1	B_1_6_2	B_1_6_3	B_1_6_4	B_1_6_5	B_1_6_6	B_1_6_7	B_1_6_8	B_1_6_9	B_1_6_10	B_1_6_11	B_1_6_7_11	B_1_6_12	B_1_6_99	B_1_7	B_1_7_1	B_1_7_1_1	B_1_7_1_2	B_1_7_2	B_1_8	B_1_8_1	B_1_8_2	B_1_9	B_1_9_1	B_1_9_2	B_1_9_2_1	B_1_9_2_2	B_1_9_2_2_99	B_1_9_2_99	B_1_10_11	B_1_10	B_1_11	B_1_12	B_1_12_1	B_1_12_2	B_2	B_3	B_3_1	B_3_2	B_3_3	B_4	B_4_1	B_4_1_1	B_4_1_1_1	B_4_1_1_2	B_4_1_2	B_4_1_3	B_4_2	B_4_3	B_4_3_1	B_4_3_2	B_4_4	B_4_4_1	B_4_4_2	B_4_4_3	B_4_4_4	B_4_5	B_4_6	B_4_7	C_1L	C_1_3L	C_2_1_2_5L	C_2L	C_21399L	C_2_1L	C_2_2L	C_2_3L	C_2_4L	C_2_5L	C_2_6L	C_2_99L	C_2_6_99L	C_3L	C_3_1L	C_3_1_1L	C_3_1_99L	C_3_2L	C_3_2_1L	C_3_2_99L	C_4_5_6L	C_4L	C_4_1L	C_4_2L	C_4_99L	C_5L	C_5_1L	C_5_2L	C_5_3L	C_6L
IT	ha	9911520	12856050	7009310	3619480	542870	1419110	8100	262050	155750	890240	245820	95530	139140	25980	113160	94990	27110	58650	9230	342790	27100	110	100	26010	107940	168600	620	1270	360	180	170	2590	7190	3150	299680	266740	238020	28720	32940	12720	7280	5440	1917850	1082490	835360	233730	103560	601630	498070	34930	28880	6050	547720	289670	258050	31900	3434070	2198160	1182510	53410	2380770	424300	237280	208690	28590	10730	176290	128920	1123330	13630	1109700	663000	320860	304840	37300	0	27580	12920	710	175330	5302870	2125260	4363130	5127540	637350	447480	547990	69090	423360	1832370	405500	2237860	764410	678220	622310	55910	86190	75480	10720	4608650	2455100	46370	311450	2097270	2136010	664630	617360	854020	17540
IT	flg																																																																																																													
LT	ha	900080	2742560	2115130	1041360	525480	0	51670	239290	84940	7740	0	132250	54860	44340	10510	50500	33200	15390	1920	269600	0	0	0	256680	0	0	460	1780	10	0	0	2260	10540	110	10390	10090	2030	8060	300	140	130	10	566040	541380	24650	17140	270	7510	7240	3470	3440	30	118780	36610	82160	0	605870	535760	0	70110	21550	20270	13180	13180	0	6940	150	0	0	0	0	0	0	0	0	0	360	930	0	23000	607630	209930	576490	584620	72750	31010	67900	7890	30380	352630	13930	366560	8130	6450	3060	3390	1680	840	830	292450	201110	7230	40260	153620	90700	36000	43160	11540	640
LT	flg																					-1	-1									-1																																																																														
LU	ha	167660	131110	62000	29710	14010		900	8260	1350	370	0	4820	340	300	30	640	620	0	30	4870	0	0	0	4710		0		80		0	0	80	10	60	200	200	180	20	0	0	0	0	25540	11460	14080	13440	450	640	190	560	410	150	140	90	50	10	67590	67330	70	200	1500	130	130	130	0			0	0	0	0	1270	1270		0	0	90	20	0	3680	148330	72230	143230	144650	20900	11540	21200	3700	14900	45010	25990	71000	1420	910	460	450	510	270	240	19330	18160	840	3750	13580	1160	120	1020	20	10
LU	flg																																							-1	-1	-1	-1																																																																			
LV	ha	474630	1796290	1119960	548640	312920	0	34370	107400	63350	0	0	30600	2820	2690	130	25560	24590	0	970	116840	0	0	0	112490	0	0	1180	1820	50	110	0	3160	1190	0	4760	4710	880	3830	40	100	90	10	337630	325680	11960	6050	5910	5910	0	9160	4810	4350	74450	35830	38620	16760	651050	146090	349950	155020	8510	8260	6430	6430	0	1830	0	0	0	0	0	0	0	0	0	0	250	0	0	8290	316100	117660	298130	307810	43880	13830	38580	3740	17620	166410	14070	180480	9670	8430	4750	3680	1250	910	340	158530	96550	2780	24030	69740	61400	11580	48440	1380	580
LV	flg																						-1																																																																																							
ME	ha	118410	221300	4050	1260	280	0	70	190	160	440	0	120	30	30		900	890	0	10	70	60	0	0			0	0	0	0	0	0	0	0	0	780	740	110	630	50	10	0	0	970	330	640	40	580	600	20	20	0	10	30	30	0	2410	210180	63850	146330	0	4650	1000	980	950	30	10	10	230	300	0	300	2540	2210	130	200	0	590	0	0	3520	97760	15850	67770	94250	6730	1030	1550	2340	4200	51150	780	51920	26480	22900	14280	8630	3580	2360	1210	20650	12670	200	1020	11460	7950	880	6800	270	20
ME	flg																																	-1	-1							-1	-1									-1																			-1																																							
